#{"t_start": 1770891971.5386417, "env_id": "None"}
r,l,t
-47535.387,9940,3997.103697
-79076.88,10001,4004.86843
-97.9842,1,4005.116194
-43119.438,5211,4006.102225
-48628.91,9940,4006.880198
-97.98953,1,4006.903438
-97097.695,9940,4023.939373
-49260.562,3665,4027.979402
-155997.86,6085,4033.487049
-40555.426,9941,4039.601571
-94.12689,1,4039.62395
-61755.53,7383,4064.663849
-73523.68,9941,4067.016112
-91.706665,1,4067.270143
-37421.074,9941,4074.848561
-104153.54,9941,4092.528534
-44405.508,9941,4097.1343
-66332.805,9941,4108.191897
-69454.375,9941,4110.783122
-104958.39,9941,4111.219517
-42119.598,9942,4149.778906
-61087.6,7750,4152.310185
-43639.36,9942,4163.79801
-182181.1,7397,4172.094007
-84.05429,1,4172.118163
-99.85896,1,4172.365018
-140513.81,9942,4175.546184
-61114.082,9942,4180.013141
-116087.36,9942,4181.037876
-90.33349,1,4181.060784
-43172.94,9942,4182.896398
-99.76021,1,4182.920039
-97.054214,1,4183.166749
-134483.69,8464,4185.979436
-94.55364,1,4186.001278
-90083.78,7718,4189.68869
-202688.55,9612,4194.869206
-147000.28,9942,4203.890828
-68088.24,10001,4204.245862
-94.93958,1,4204.466979
-84643.22,7191,4204.861723
-102.687096,1,4204.882997
-58146.64,9942,4212.037551
-37325.305,9942,4221.777472
-79.804886,1,4222.024789
-51290.07,10001,4230.690218
-111387.77,8613,4233.294569
-64730.75,9943,4233.696158
-84.30993,1,4233.718355
-40936.64,9943,4234.382178
-45932.438,9943,4242.132911
-68834.48,10001,4245.365304
-54703.008,9943,4261.086323
-51500.77,10001,4278.003004
-49232.07,10001,4302.90328
-44157.82,9943,4303.926277
-104.734825,1,4304.162019
-177010.08,9943,4311.696291
-43055.46,9943,4329.212625
-58267.043,10001,4335.419429
-46546.418,6734,4342.846784
-90.868385,1,4342.868485
-45839.543,9944,4344.820186
-48767.535,9944,4347.422978
-40781.03,9944,4347.658068
-33240.547,3904,4370.059403
-230305.58,9944,4386.198363
-85021.7,6443,4386.536799
-89.85457,1,4386.745847
-47944.35,9944,4388.659588
-94.38406,1,4388.895784
-51797.03,7850,4390.680377
-79598.59,7510,4400.238074
-118440.336,9944,4400.409323
-83.091896,1,4400.430432
-85.22282,1,4400.641589
-121241.51,9944,4409.248111
-73287.0,9944,4412.154388
-57447.29,9944,4416.68731
-78712.484,10001,4419.377168
-50223.51,10001,4424.2675
-65640.07,10001,4427.953973
-82.768005,1,4427.977745
-95.183334,1,4428.232817
-46513.51,10001,4433.623276
-67971.09,9945,4441.05897
-126334.195,10001,4443.547397
-40207.727,9945,4449.288627
-81132.945,9945,4467.56524
-83.11289,1,4467.807751
-117030.28,9945,4470.159168
-69722.66,10001,4472.143507
-110334.055,10001,4480.593083
-152097.6,9945,4482.460422
-45303.84,9945,4498.127336
-154368.11,8301,4502.71433
-91945.35,4714,4513.569452
-51230.094,10001,4541.666753
-83.58111,1,4541.903197
-147334.1,9946,4549.159759
-62886.805,4313,4551.675378
-83.990875,1,4551.90803
-299736.8,9946,4566.962832
-46276.6,9946,4573.086283
-61458.83,8088,4580.310075
-81.566986,1,4580.544374
-102730.97,10001,4582.081918
-94.520424,1,4582.315726
-68521.14,10001,4584.122526
-42933.688,9946,4585.438952
-50593.793,10001,4587.138879
-44110.03,10001,4609.741219
-125308.03,6208,4618.408455
-50651.29,9947,4624.646088
-219534.05,9947,4627.069591
-98.3331,1,4627.303003
-191191.38,10001,4630.509388
-249073.66,7853,4631.000196
-47325.54,9947,4638.713378
-162560.2,9056,4640.612102
-36391.105,9947,4647.264479
-40135.047,10001,4651.701199
-315261.2,9947,4654.87973
-49524.8,9947,4657.48789
-36953.613,9947,4666.209296
-52294.37,9947,4671.302001
-50351.61,10001,4680.104469
-84.561195,1,4680.127803
-34847.06,3938,4704.03438
-58258.85,9947,4705.352828
-81.1922,1,4705.376383
-38957.867,9947,4709.805212
-44008.004,9947,4718.27729
-131199.67,9948,4720.166422
-48811.47,9948,4735.924082
-254605.72,9349,4737.04982
-48277.98,9948,4740.394226
-46885.39,7430,4762.021403
-62534.895,7962,4777.354175
-77712.52,6454,4779.211028
-159687.48,9948,4780.034708
-106.7656,1,4780.060172
-61432.71,5250,4782.986547
-294225.28,9948,4787.617359
-158384.2,9948,4790.391832
-43377.71,9948,4805.636319
-183437.75,9948,4811.770265
-89.75837,1,4811.795103
-87.74262,1,4812.016385
-38822.94,9949,4819.347357
-80.82764,1,4819.569348
-93080.87,9949,4821.143811
-289826.9,9949,4824.422255
-135166.08,9269,4853.160419
-54545.56,9949,4856.951505
-55111.277,9949,4865.561837
-96.263306,1,4865.788277
-42533.793,9949,4868.978193
-44427.082,10001,4878.612961
-44272.75,10001,4880.478617
-47410.766,9949,4885.945137
-111165.29,9949,4890.083727
-37353.758,9949,4893.108547
-197969.0,9949,4904.080818
-100.09216,1,4904.308274
-103193.03,10001,4910.840392
-73865.32,10001,4919.681325
-44050.242,9950,4941.965896
-88.986305,1,4941.992129
-93.5959,1,4942.213448
-41640.49,10001,4944.950365
-54470.94,9950,4947.872015
-81.844604,1,4947.895405
-110.00956,1,4948.116209
-44157.004,9950,4956.447137
-81263.69,9950,4958.407487
-52257.016,9950,4973.964604
-55241.12,10001,4976.388915
-117512.59,10001,4979.858478
-40168.48,9950,4999.756802
-87.8288,1,4999.973129
-170243.28,10001,5016.193241
-87.165375,1,5016.216185
-131857.0,9951,5016.655006
-53099.46,10001,5018.956318
-37981.234,9951,5020.438049
-43482.523,9951,5024.99484
-70446.61,9951,5027.723772
-39713.39,9951,5042.644828
-94.10514,1,5042.860425
-42185.26,9951,5048.805346
-79089.4,7138,5055.614383
